arm,seed,valve,horizon,seconds,response,day_ci_low,day_ci_high,n_windows,unsupported,dose_min,dose_max
greybox_steady_none,2,1,11,110,0.0028444339067508016,0.0013823895576672675,0.004311946966709236,64,0,0.04999999701976776,0.050000011920928955
greybox_steady_none,2,1,12,120,0.003108097956730769,0.0015235979129106568,0.0047017571864983974,64,0,0.04999999701976776,0.050000011920928955
greybox_steady_none,2,1,13,130,0.0033411270532852566,0.0016286331568008815,0.005057670397636219,64,0,0.04999999701976776,0.050000011920928955
greybox_steady_none,2,1,14,140,0.0035712217673277247,0.00174897218361879,0.005417998876327123,64,0,0.04999999701976776,0.050000011920928955
greybox_steady_none,2,1,15,150,0.0037931393354366984,0.0018395780905699122,0.0057719568105844355,64,0,0.04999999701976776,0.050000011920928955
greybox_steady_none,2,1,16,160,0.004006723257211538,0.001937428009815705,0.006089281913561699,64,0,0.04999999701976776,0.050000011920928955
greybox_steady_none,2,1,17,170,0.004226175944010417,0.002044258117675781,0.006416401007236578,64,0,0.04999999701976776,0.050000011920928955
greybox_steady_none,2,1,18,180,0.004435416979667468,0.0021566909398788065,0.006716792766864483,64,0,0.04999999701976776,0.050000011920928955
greybox_steady_none,2,2,1,10,0.002740165514823718,0.0025761922200520835,0.0029282535650791263,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,2,20,0.008186262081830929,0.007680236620780749,0.008769217271071213,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,3,30,0.013196935409154648,0.012406066503280246,0.014108339945475258,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,4,40,0.017197789901342145,0.016183522542317707,0.01836021032088842,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,5,50,0.020287851186899037,0.01909555288461539,0.021633402506510416,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,6,60,0.022649442232572113,0.02133350861378205,0.02414779076209435,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,7,70,0.024508040990584935,0.023083005073742988,0.026140498625926482,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,8,80,0.025975114871294072,0.02444301507411859,0.027725688249636917,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,9,90,0.0271783682016226,0.02554384573912009,0.029042877784142128,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,10,100,0.028194681803385413,0.02649890606219952,0.030149886302458934,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,11,110,0.029056490384615385,0.02727061345027043,0.031121951372195512,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,12,120,0.02983187161959135,0.02796509767190004,0.03198983412522536,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,13,130,0.030511083358373395,0.028556007972130412,0.03277332208095452,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,14,140,0.031144323104467152,0.029071573110727163,0.033553434518667366,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,15,150,0.031729556352664265,0.029576477637657757,0.03422202672713843,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,16,160,0.03223012288411459,0.029997532184307393,0.03479212345221104,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,17,170,0.032720751640124196,0.030358174641927086,0.035405230399889825,64,0,0.04999998211860657,0.050000011920928955
greybox_steady_none,2,2,18,180,0.03317456367688301,0.030728196364182694,0.03598338787372296,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,1,1,10,0.0,0.0,0.0,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,2,20,-0.0080808590619992,-0.009529889424641929,-0.006565030415852865,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,3,30,-0.018694403232672276,-0.0220186526958759,-0.015242968828250202,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,4,40,-0.030180671887520025,-0.035448154547275644,-0.02470641111716247,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,5,50,-0.041901612893129,-0.0490436035547501,-0.03443104279346955,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,6,60,-0.05374728471804887,-0.06274670820969801,-0.04438578287760416,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,7,70,-0.06570387620192307,-0.07648978795760718,-0.05431460649539263,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,8,80,-0.07778312487479967,-0.0903347680507562,-0.06445724291679185,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,9,90,-0.08993581136067709,-0.10426564045441457,-0.07490869864439353,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,10,100,-0.10218904935396633,-0.11831530644343449,-0.0850678468361879,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,11,110,-0.11444377410106168,-0.13215585268460786,-0.0954861039381761,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,12,120,-0.12670295910957532,-0.14597243480193312,-0.10583408453525645,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,13,130,-0.13894899808443512,-0.15971997970189802,-0.11610057537372298,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,14,140,-0.1511202689928886,-0.173681877331856,-0.12625765091333638,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,15,150,-0.16322647485977565,-0.1876152586325621,-0.13633109850761221,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,16,160,-0.17521882668519634,-0.2014198303222656,-0.14643455896622096,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,17,170,-0.1871156741411258,-0.2149746391100761,-0.15674245394193212,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,1,18,180,-0.19880128518129003,-0.22856477590707633,-0.16666914132925184,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,0,2,1,10,-0.0003075232872596154,-0.0003576131967397837,-0.0002648769280849359,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,2,20,-0.0107301760942508,-0.012296961270845855,-0.00887099143786308,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,3,30,-0.02316890618739984,-0.02669624230800531,-0.01899538871569511,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,4,40,-0.0352546887520032,-0.040658191778720945,-0.028787738115359576,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,5,50,-0.04630616016877003,-0.053543350024101065,-0.03771434979561048,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,6,60,-0.05635070800781251,-0.06528625488281249,-0.04576629247420873,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,7,70,-0.06553153013571714,-0.07600909502078325,-0.0531587140988081,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,8,80,-0.07402288974859776,-0.08585608653533154,-0.06001676706167367,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,9,90,-0.08201685196314103,-0.09510310246394231,-0.0665035580366086,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,10,100,-0.08961925017528045,-0.10399054502829529,-0.07266020554762621,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,11,110,-0.09693212264623399,-0.11250643607897637,-0.0785777126214443,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,12,120,-0.1040431878505609,-0.12070021800505808,-0.08430210602589143,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,13,130,-0.11102408384665466,-0.12867158938676884,-0.0899742635091146,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,14,140,-0.11789844219501201,-0.13655087299835988,-0.09577568641075723,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,15,150,-0.12474959935897437,-0.14428638556064702,-0.1016172360151242,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,16,160,-0.13159594413561698,-0.1520984551845453,-0.10754346016125803,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,17,170,-0.138424565241887,-0.15982090485401645,-0.11327514941875752,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,0,2,18,180,-0.14525490785256412,-0.1676643215081631,-0.11913806621844952,64,0,0.04999998211860657,0.050000011920928955
fusion_gru_norew,1,1,1,10,-4.6950120192307695e-06,-1.173753004807692e-05,0.0,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,2,20,-0.0023644080528846152,-0.0028841282771183896,-0.0019219677264873801,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,3,30,-0.005855658115484776,-0.007040956937349759,-0.0048155212402343755,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,4,40,-0.00994438758263221,-0.01184142577342498,-0.008202628111227966,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,5,50,-0.014408483260717149,-0.017032987154447114,-0.011957629277155952,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,6,60,-0.01919180063100961,-0.02257818368765024,-0.01598221216446314,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,7,70,-0.024233382787459935,-0.02845868232922676,-0.020251636994190705,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,8,80,-0.0294990735176282,-0.03461989378317809,-0.02474918854542268,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,9,90,-0.03500882662259615,-0.04101084782527044,-0.029366458990635017,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,10,100,-0.040687991411258013,-0.04764225886418269,-0.03406209896772335,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,11,110,-0.046538015512319716,-0.05430677658472306,-0.038889775398450024,64,0,0.04999999701976776,0.050000011920928955
fusion_gru_norew,1,1,12,120,-0.05253389798677885,-0.06119283040364584,-0.04385303595127203,64,0,0.04999999701976776,0.050000011920928955
